,Area,Perimeter,Major_Axis,Minor_Axis,Eccentricity,Eqdiasq,Solidity,Convex_Area,Extent,Aspect_Ratio,Roundness,Compactness,Shapefactor_1,Shapefactor_2,Shapefactor_3,Shapefactor_4,Mean_RR,Mean_RG,Mean_RB,StdDev_RR,StdDev_RG,StdDev_RB,Skew_RR,Skew_RG,Skew_RB,Kurtosis_RR,Class
Mean_RR,0.4589890571541651,-0.11283230886516629,0.31382648378043554,0.3486878363195705,-0.1407149788750699,0.4718034237518133,0.324372736303605,0.38666304291646675,0.28820364964782524,-0.2118946060461492,0.3317003235841526,0.2863183133844365,-0.4770163701028048,-0.35074244204718136,0.2744642496538932,0.22000381260122434,1.0,0.9370118558333667,0.67960475341696,0.5265884249031004,0.4866056133128807,0.33515016228732225,-0.7546615785697837,-0.7292052821743489,-0.5972236455650907,0.32016335692635783,0.33245451863898345
Mean_RG,0.43478621484719493,-0.1419070948402998,0.32256982331771283,0.30090126279673,-0.08873082206371107,0.44584579476443637,0.34347558805758555,0.3522629789414778,0.29798641542061344,-0.15809785355179268,0.35097832560865133,0.23869050664790697,-0.4332909740308255,-0.3615685155081688,0.227423098889953,0.23547653343702288,0.9370118558333667,1.0,0.8300926606441473,0.5057078228973303,0.49578337980774684,0.34541408468849966,-0.7607741411553156,-0.7297796699199355,-0.599507716221053,0.36523576439108507,0.29240933499179833
Mean_RB,0.34302577603461476,-0.12953568623390307,0.22970719039629459,0.22578036336561078,-0.06946871580537516,0.34501986851154504,0.28676496957474995,0.2672466206250816,0.2600579637345083,-0.11831429473603632,0.2853783104280249,0.20275559141220273,-0.32164653705259444,-0.2829987935085185,0.19727732371601903,0.21522532137083378,0.67960475341696,0.8300926606441473,1.0,0.4049798701530404,0.44390431322138435,0.27032955748798476,-0.5835738794265645,-0.5601468798824355,-0.48545687762165596,0.3274071780144792,0.22911656948731463
StdDev_RR,0.024021476060773796,0.05810433056988804,0.057641223221829546,0.023901182616922003,0.026199690935836673,0.039177747994397195,-0.02642589808053945,0.041743469898889614,0.09232987347918697,-0.025651482048030434,-0.048204960324751314,-0.0074059375140643115,-0.06887841905443112,-0.05104967123198164,-0.016075995070014,-0.028817333960532477,0.5265884249031004,0.5057078228973303,0.4049798701530404,1.0,0.9481582253371389,0.7122882537321196,-0.12706593889527487,-0.18516672392661393,-0.377798221950116,-0.4006200024260566,-0.14810717582992844
StdDev_RG,0.03211204146671406,0.12653643506597284,0.04619075878904127,0.061691679051249955,-0.01877351206882291,0.04506627146190022,-0.08593733237718244,0.07147939193510756,0.04735490189773583,-0.06118556263699976,-0.11930277784662201,0.012326772987625962,-0.07383824933320852,-0.018118138290662375,0.0050183317243794635,-0.07769016381221537,0.4866056133128807,0.49578337980774684,0.44390431322138435,0.9481582253371389,1.0,0.7678570484272869,-0.07435481418270826,-0.11954848324175912,-0.32591509422670484,-0.4067739012353081,-0.09806416146046623
StdDev_RB,-0.030651804747625026,0.022170637804482744,0.06502818489332725,-0.07121222272201613,0.11605418949930715,-0.017884001774347024,-0.02478848675833668,-0.019823165096324754,0.049949740252384,0.08115955001409449,-0.0590194564995534,-0.09497809416854038,0.01725898135877183,-0.07161423155911054,-0.10060744719379276,0.0045826879995964475,0.33515016228732225,0.34541408468849966,0.27032955748798476,0.7122882537321196,0.7678570484272869,1.0,0.01724942191497976,0.040713032023221664,-0.14321014177892294,-0.3039411454560665,-0.2173568135348116
Skew_RR,-0.37546556246827567,0.19761742463647455,-0.2733087444229447,-0.2378426581284239,0.06426566754475115,-0.3836919550951996,-0.3675072620450514,-0.2823836828623649,-0.27595220195434483,0.11171581450564023,-0.3794466766329079,-0.21055718547117616,0.3754851493200358,0.3361792258040892,-0.20041200253503216,-0.26723007115670144,-0.7546615785697837,-0.7607741411553156,-0.5835738794265645,-0.12706593889527487,-0.07435481418270826,0.01724942191497976,1.0,0.9587676936246609,0.6837542871318198,-0.5983819770887171,-0.31707256450311505
Skew_RG,-0.37574772076258517,0.12964094748908953,-0.2461748125443248,-0.2778726237353987,0.11888518623295569,-0.3833346704626047,-0.3040087926247086,-0.30512392194541904,-0.2472086577578712,0.16346141683154,-0.3102294492092752,-0.24210148827414263,0.3877288432738979,0.2908258830956252,-0.23261847910211017,-0.2134446234867945,-0.7292052821743489,-0.7297796699199355,-0.5601468798824355,-0.18516672392661393,-0.11954848324175912,0.040713032023221664,0.9587676936246609,1.0,0.7664685583757379,-0.4751845183333112,-0.3378843129211544
Skew_RB,-0.19349741689140862,0.057866394377606344,-0.12078599376224985,-0.1491106209611808,0.06123331834631298,-0.19761318317489815,-0.14571442172358942,-0.16294233013081014,-0.15335894891664223,0.09518762692778725,-0.15309126057132527,-0.12861788405591576,0.2060415890558002,0.14858471027040668,-0.12140917488508134,-0.10151809604147907,-0.5972236455650907,-0.599507716221053,-0.48545687762165596,-0.377798221950116,-0.32591509422670484,-0.14321014177892294,0.6837542871318198,0.7664685583757379,1.0,-0.14652397741598658,-0.2000094618505693
Kurtosis_RR,0.21611163034786118,-0.2468272248912261,0.20679129293744988,0.059060671544697005,0.05558578660239347,0.21235854184522762,0.31546854323395757,0.11750998977985631,0.13820629307938007,0.05177897377325499,0.36842816367560133,0.047176101559023624,-0.14242985728790103,-0.24841237269157956,0.047270015185040475,0.23613065237300346,0.32016335692635783,0.36523576439108507,0.3274071780144792,-0.4006200024260566,-0.4067739012353081,-0.3039411454560665,-0.5983819770887171,-0.4751845183333112,-0.14652397741598658,1.0,0.15571355389707245
Class,0.5892264922887338,0.1452899119262648,0.13684515601422914,0.6681264169977954,-0.5467589893849228,0.577300127661567,0.12534714943639266,0.5846183089054896,0.10020039094298613,-0.5814694718049539,0.10576834072607978,0.6249393144962915,-0.6155129100944697,-0.12618762687035256,0.6263036996157407,0.06308362209835329,0.33245451863898345,0.29240933499179833,0.22911656948731463,-0.14810717582992844,-0.09806416146046623,-0.2173568135348116,-0.31707256450311505,-0.3378843129211544,-0.2000094618505693,0.15571355389707245,1.0
